号码ID,号码,状态码,呼叫结果,是否可拨,呼叫人,标题,名字,中间名,姓氏,地址1,地址2,地址3,城市,区号,地区,邮编,省份,性别,备用电话,邮箱,描述,生日,呼叫次数,呼叫时间,导入时间,
100002,9999000217,A,空号传真,是,1000,,,,,,,,,086,,,,,,,,0000-00-00,1,2015-03-10 14:05:20,2015-03-04 16:27:33,
100099,9999000314,AB,关机,是,VDAD,,,,,,,,,086,,,,,,,,0000-00-00,1,2015-03-11 10:17:42,2015-03-04 16:27:33,
100108,9999000323,AB,关机,是,VDAD,,,,,,,,,086,,,,,,,,0000-00-00,1,2015-03-11 10:17:42,2015-03-04 16:27:33,
100479,9999000694,AB,关机,是,VDAD,,,,,,,,,086,,,,,,,,0000-00-00,1,2015-03-11 10:23:11,2015-03-04 16:27:34,
100493,9999000708,AB,关机,是,VDAD,,,,,,,,,086,,,,,,,,0000-00-00,1,2015-03-11 10:23:11,2015-03-04 16:27:34,
100498,9999000713,AB,关机,是,VDAD,,,,,,,,,086,,,,,,,,0000-00-00,1,2015-03-11 10:23:11,2015-03-04 16:27:34,
100499,9999000714,AB,关机,是,VDAD,,,,,,,,,086,,,,,,,,0000-00-00,1,2015-03-11 10:23:11,2015-03-04 16:27:34,
100518,9999000733,AB,关机,是,VDAD,,,,,,,,,086,,,,,,,,0000-00-00,1,2015-03-11 10:23:11,2015-03-04 16:27:34,
100519,9999000734,AB,关机,是,VDAD,,,,,,,,,086,,,,,,,,0000-00-00,1,2015-03-11 10:23:11,2015-03-04 16:27:34,
100538,9999000753,AB,关机,是,VDAD,,,,,,,,,086,,,,,,,,0000-00-00,1,2015-03-11 10:23:11,2015-03-04 16:27:34,
100539,9999000754,AB,关机,是,VDAD,,,,,,,,,086,,,,,,,,0000-00-00,1,2015-03-11 10:23:11,2015-03-04 16:27:34,
100543,9999000758,AB,关机,是,VDAD,,,,,,,,,086,,,,,,,,0000-00-00,1,2015-03-11 10:23:11,2015-03-04 16:27:34,
