号码ID	号码	状态码	呼叫结果	是否可拨	呼叫人	标题	名字	中间名	姓氏	地址1	地址2	地址3	城市	区号	地区	邮编	省份	性别	备用电话	邮箱	描述	生日	呼叫次数	呼叫时间	导入时间	
99709	11111111111	B	关机	否	1000									1				U			1000	0000-00-00	2	2015-03-02 09:34:38	2015-02-09 10:22:43	
99735	15865252645	B	关机	是	1000				ysc									M				0000-00-00	20	2015-03-02 01:10:21	2015-02-09 11:28:56	
99697	11111111111	DROP	丢弃	是	9999									1				U			1000		1		2015-02-07 14:54:39	
99711	11111111111	DROP	丢弃	是	9999									1				U			1000		1		2015-02-09 10:23:05	
99713	11111111111	DROP	丢弃	是	9999									1				U			1000		1		2015-02-09 10:25:34	
99715	11111111111	DROP	丢弃	是	9999									1				U			1000		1		2015-02-09 10:34:25	
99717	11111111111	DROP	丢弃	是	9999									1				U			1000		1		2015-02-09 10:37:33	
99719	11111111111	DROP	丢弃	是	9999									1				U			1000		1		2015-02-09 10:40:08	
99721	11111111111	DROP	丢弃	是	9999									1				U			1000		1		2015-02-09 10:45:00	
99723	11111111111	DROP	丢弃	是	9999									1				U			1000		1		2015-02-09 10:51:57	
99725	11111111111	DROP	丢弃	是	9999									1				U			1000		1		2015-02-09 10:53:25	
99707	11111111111	good		是	22222									1				U			1000	0000-00-00	1		2015-02-09 10:17:09	
99755	11111111111	INBND		是	9999									1				U			1000		1		2015-02-09 14:16:03	
99727	11111111111	N	无人接听	否	1000									1				U			1000	0000-00-00	2	2015-03-02 09:35:38	2015-02-09 10:53:44	
99749	15865252645	N	无人接听	否	1000									1				U			15865252645	0000-00-00	2	2015-03-02 09:35:57	2015-02-09 13:13:58	
99699	11111111111	XDROP	无人接听	是	1000									1				U			1000	0000-00-00	1		2015-02-07 15:01:45	
99701	11111111111	XDROP	无人接听	是	1000									1				U			1000	0000-00-00	1		2015-02-09 09:58:27	
99703	11111111111	XDROP	无人接听	是	1000									1				U			1000	0000-00-00	1		2015-02-09 10:08:03	
99705	11111111111	XDROP	无人接听	是	1000									1				U			1000	0000-00-00	1		2015-02-09 10:15:15	
$objPHPExcel																										
